created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url,,,,,,,,,,,,,
Wed Jan 26 15:27:03 +0000 2022;1486360040856776706;abis pemeriksaan gigi di SD Strada Budi Luhur  https://t.co/IgaEVWvlOM;0;0;0;1;in;1047179429087072256;1486360040856776706;biayaoverhead;https://twitter.com/biayaoverhead/status/1486360040856776706,,,,,,,,,,,,,
Wed Jan 26 14:59:07 +0000 2022;1486353009403924481;@isobss @makLambeTurah Mengingatkanku pada film ini: Shutter Island  Ngeri si ini terjadi di suatu negeri yang “katanya” paling luhur budi pekertinya https://t.co/3drRm1xcWu;0;0;0;0;in;283846222;1485774981179260929;cak_ipho;https://twitter.com/cak_ipho/status/1486353009403924481,,,,,,,,,,,,,
Wed Jan 26 08:22:24 +0000 2022;1486253173518254082;Adab dan Akhlaq Rhosulullah...luhur budi pekerti dan Amanah, Semoga istiqomah tuan. dulu kita pernah berdebat santun dan elegan,teruji hingga saat ini 👍@Aniesbaswedan;0;0;0;2;in;196454747;1486253173518254082;Prawitadisastra;https://twitter.com/Prawitadisastra/status/1486253173518254082,,,,,,,,,,,
Wed Jan 26 05:52:13 +0000 2022;1486215378565234692;@budaksamyang9 beliau kan salah satu penggede di Yayasan Budi Luhur, kalau di instagram nya masih aktif dalam berbagai kegiatan kampus. Cuma entah apakah masih aktif di motorsports;1;0;0;0;in;218375747;1486214294371184640;arthawidhi;https://twitter.com/arthawidhi/status/1486215378565234692,,,,,,,,,,,,
Wed Jan 26 04:12:55 +0000 2022;1486190389237530626;Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious;0;0;0;0;in;2476435299;1486190389237530626;Jokamlicious;https://twitter.com/Jokamlicious/status/1486190389237530626,,,,,,,,,,,,,
Wed Jan 26 03:58:50 +0000 2022;1486186846581370881;Just posted a photo @ Universitas Budi Luhur https://t.co/FRCu7ngHKi;0;0;0;0;en;253746389;1486186846581370881;fti_budiluhur;https://twitter.com/fti_budiluhur/status/1486186846581370881,,,,,,,,,,,,,
Tue Jan 25 23:49:32 +0000 2022;1486124106496229379;Sosok juru bicara publik meski tampil dengan sikap luhur budi dan akhlak yang baik. https://t.co/F35jYxTJdS;0;0;0;0;in;22126902;1486124106496229379;republikaonline;https://twitter.com/republikaonline/status/1486124106496229379,,,,,,,,,,,,,
Tue Jan 25 11:12:57 +0000 2022;1485933707642892290;Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious;0;0;0;0;in;2476435299;1485933707642892290;Jokamlicious;https://twitter.com/Jokamlicious/status/1485933707642892290,,,,,,,,,,,,,
Tue Jan 25 10:21:14 +0000 2022;1485920689551216640;Mengikuti perkembangan terkini di Jakarta tentang peningkatan jumlah kasus baru harian Omicron yang mencapai 95 % maka Manajemen tvOne memutuskan dengan sangat menyesal untuk dilakukan pembatalan kegiatan tvOne Goes to Campus yang akan dilaksanakan di Universitas Budi Luhur. https://t.co/LYXcrjem0Z;0;1;2;4;in;55507370;1485920689551216640;tvOneNews;https://twitter.com/tvOneNews/status/1485920689551216640,,,,,,,,,,,,,
Tue Jan 25 09:28:29 +0000 2022;1485907415778623488;@KompasTV yg paling mudah minta maaf dan merupakan salah satu budi pekerti luhur,,, harapannya jangan sampai pada permintaan maaf saja, tapi harus ada tindakan nyata dalam perbaikan diri;0;0;0;0;in;2280265586;1485670119598555138;jijimsuhandi;https://twitter.com/jijimsuhandi/status/1485907415778623488,,,,,,,,,
Tue Jan 25 08:30:26 +0000 2022;1485892807005175809;Katingan Mendapatkan Bantuan 58 Kursi Roda dari BRSPDM Budi Luhur https://t.co/6XR8xq4sKX;0;0;0;1;in;2392460208;1485892807005175809;jawapos;https://twitter.com/jawapos/status/1485892807005175809,,,,,,,,,,,,,
Tue Jan 25 07:29:02 +0000 2022;1485877355805564929;Just posted a photo @ Universitas Budi Luhur https://t.co/czZXWxFuED;0;0;0;0;en;253746389;1485877355805564929;fti_budiluhur;https://twitter.com/fti_budiluhur/status/1485877355805564929,,,,,,,,,,,,,
Mon Jan 24 18:12:52 +0000 2022;1485676992486064130;Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious;0;0;0;0;in;2476435299;1485676992486064130;Jokamlicious;https://twitter.com/Jokamlicious/status/1485676992486064130,,,,,,,,,,,,,
Mon Jan 24 16:13:34 +0000 2022;1485646972791173123;Wkwowkwk budi luhur dan masih sesuai syariat aja masih aja di pandang sebelah mata😏;0;1;0;0;in;487440852;1485646972791173123;SholikhinAziz;https://twitter.com/SholikhinAziz/status/1485646972791173123,,,,,,,,,,,,,
Mon Jan 24 12:17:33 +0000 2022;1485587574257520649;Mengapa masih ada perilaku aksi main hakim sendiri di masyarakat?   Talk : Kepala Jurusan Kriminolog Univ Budi Luhur Untung Sumarwan https://t.co/znJflGNQxe;0;0;0;0;in;121640063;1485587418728509440;RadioElshinta;https://twitter.com/RadioElshinta/status/1485587574257520649,,,,,,,,,,,,,
Mon Jan 24 07:03:20 +0000 2022;1485508501732478981;Just posted a photo @ Apartemen Gateway Budi Luhur https://t.co/EF4cTEx15Y;0;0;0;0;en;1280745674644963328;1485508501732478981;nails_rosie;https://twitter.com/nails_rosie/status/1485508501732478981,,,,,,,,,,,,,
Mon Jan 24 05:44:05 +0000 2022;1485488554767958019;@marshel_daniels virusnya baik hati dan berprekerti budi luhur;0;1;0;1;in;1183456816488833026;1485486974685564932;EleJokow;https://twitter.com/EleJokow/status/1485488554767958019,,,,,,,,,,,,,
Mon Jan 24 01:12:56 +0000 2022;1485420317610708995;Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious;0;0;0;0;in;2476435299;1485420317610708995;Jokamlicious;https://twitter.com/Jokamlicious/status/1485420317610708995,,,,,,,,,,,,,
Sun Jan 23 23:48:58 +0000 2022;1485399188569726976;seenggaknya stresnya gw berkurang 1 tiap mau kerja gak ngelewati lagi macetnya budi luhur sama rasuna 😆;0;0;0;0;in;2373636186;1485399188569726976;AlieenFat;https://twitter.com/AlieenFat/status/1485399188569726976,,,,,,,,,,,,,
Sun Jan 23 10:28:42 +0000 2022;1485197793342136322;@hhsyqq gatau deh ya 😭 maen ke ciledug cuma smpe univ budiluhur;0;1;0;0;in;1352216626498682884;1485120553937944579;chavethnic;https://twitter.com/chavethnic/status/1485197793342136322,,,,,,,,,,,,,
Sun Jan 23 08:12:57 +0000 2022;1485163630069182466;Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious;0;0;0;0;in;2476435299;1485163630069182466;Jokamlicious;https://twitter.com/Jokamlicious/status/1485163630069182466,,,,,,,,,,,,,
Sat Jan 22 03:32:11 +0000 2022;1484730588745838595;@travelfish Hahahahaha  Coto Makassar n es teler ala Komodo (different with original Jakarta version)  RM Budi Luhur, one of the best Sop Ikan Kuah Kuning in town  Kellan Eat First, decent Sino-Indonesian cuisine, Surabayan Chef  Pagaruyung  best RM Padang, grilled tuna steak Minang style😍 https://t.co/nFXvzfTUtX;1;1;0;7;in;77976639;1484721068359438336;arieparikesit;https://twitter.com/arieparikesit/status/1484730588745838595,,,,,,,,,
Fri Jan 21 22:12:51 +0000 2022;1484650223846985731;Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious;0;0;0;0;in;2476435299;1484650223846985731;Jokamlicious;https://twitter.com/Jokamlicious/status/1484650223846985731,,,,,,,,,,,,,
Fri Jan 21 18:27:17 +0000 2022;1484593459730481153;@hendorrr ih bapak eluu. kalo bapak gua salam budiluhur 🤚WKWKWK;0;0;0;0;in;1249680080227274752;1484062470969118723;pepayaispapaya;https://twitter.com/pepayaispapaya/status/1484593459730481153,,,,,,,,,,,,,
Fri Jan 21 09:58:00 +0000 2022;1484465294311452676;@TukangMu Siᶇkatnya buḍi pĕkĕrti luhur ,jika akhlak masih biyas .;1;0;0;1;in;3023873858;1484461397501100032;MuhSuwarno;https://twitter.com/MuhSuwarno/status/1484465294311452676,,,,,,,,,,,,
Fri Jan 21 07:05:43 +0000 2022;1484421935266398211;@AndryWaseso Referensinya Alquran bisa gak Kak?  Terutama berkenaan dg akhlak budi pekerti luhur?;0;1;0;0;in;1041652521763168256;1484414871416754177;Cinomeduroo;https://twitter.com/Cinomeduroo/status/1484421935266398211,,,,,,,,,,,,,
Fri Jan 21 05:12:54 +0000 2022;1484393543196364801;Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious;0;0;0;0;in;2476435299;1484393543196364801;Jokamlicious;https://twitter.com/Jokamlicious/status/1484393543196364801,,,,,,,,,,,,,
Thu Jan 20 16:48:15 +0000 2022;1484206148152860673;Alkisah disuatu negara yang mau membuat metavirst karena memiliki nilai budi luhur;0;0;0;1;in;1453152589067943939;1484206148152860673;paracetalife;https://twitter.com/paracetalife/status/1484206148152860673,,,,,,,,,,,,,
Thu Jan 20 15:26:02 +0000 2022;1484185458498285568;Webinar “Muda Berkarya Untuk UMKM Indonesia”   Hari / Tanggal: Rabu, 26 Januari 2022 Pukul: 14.00-17.00 WIB LIVE ZOOM: Universitas Budi Luhur Jakarta   Gratis dan terbuka untuk umum, segera daftarkan dirimu melalui https://t.co/YIYLKKkxNd https://t.co/ayuH4R6q0J;0;0;0;0;in;1732184760;1484185458498285568;EventJakartaCom;https://twitter.com/EventJakartaCom/status/1484185458498285568,,,,,,,,,,,
Thu Jan 20 12:12:55 +0000 2022;1484136859421020162;Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious;0;0;0;0;in;2476435299;1484136859421020162;Jokamlicious;https://twitter.com/Jokamlicious/status/1484136859421020162,,,,,,,,,,,,,
Thu Jan 20 01:18:58 +0000 2022;1483972285728190464;@ariefoster jam 6 lewat 5 menit Budiluhur udh macet;0;1;0;0;in;150199761;1483971491935186948;ikbalarsa53;https://twitter.com/ikbalarsa53/status/1483972285728190464,,,,,,,,,,,,,
Thu Jan 20 00:51:50 +0000 2022;1483965455652077570;Just posted a photo @ Smks Budi Luhur Sintang https://t.co/Jgrwtm1OFa;0;0;0;1;en;1030727411271233536;1483965455652077570;stmikpnk;https://twitter.com/stmikpnk/status/1483965455652077570,,,,,,,,,,,,,
Wed Jan 19 19:12:53 +0000 2022;1483880158172172288;Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious;0;0;0;0;in;2476435299;1483880158172172288;Jokamlicious;https://twitter.com/Jokamlicious/status/1483880158172172288,,,,,,,,,,,,,
Wed Jan 19 12:41:39 +0000 2022;1483781701985705987;Just posted a photo @ Apartemen Gateway Budi Luhur https://t.co/AIz3JoyeuA;0;0;0;0;en;1280745674644963328;1483781701985705987;nails_rosie;https://twitter.com/nails_rosie/status/1483781701985705987,,,,,,,,,,,,,
Wed Jan 19 10:48:01 +0000 2022;1483753105103929349;Berbagi &amp  tolong menolong dari Bapak dosen wawasan budi luhur🙏  https://t.co/ZSf829NMam;0;0;0;0;in;1189525853643821056;1483753105103929349;baechukarin;https://twitter.com/baechukarin/status/1483753105103929349,,,,,,,,,,,,,
Wed Jan 19 08:03:24 +0000 2022;1483711679036891137;Kabupaten Katingan Akan Terima Terima Bantuan 58 Kursi Roda Dari BRSPDM Budi Luhur https://t.co/e062dxpscy;0;0;0;0;in;1481905457677860871;1483711679036891137;kaltengtoday;https://twitter.com/kaltengtoday/status/1483711679036891137,,,,,,,,,,,,,
Wed Jan 19 02:13:01 +0000 2022;1483623500833177602;Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious;0;0;0;4;in;2476435299;1483623500833177602;Jokamlicious;https://twitter.com/Jokamlicious/status/1483623500833177602,,,,,,,,,,,,,
Tue Jan 18 17:01:57 +0000 2022;1483484818310840321;salah satu budi yang paling luhur adalah kejujuran, hadapilah walaupun itu sulit  -kasino;0;0;0;0;in;1423641558079795200;1483484818310840321;ekalutf;https://twitter.com/ekalutf/status/1483484818310840321,,,,,,,,,,,,
Tue Jan 18 15:09:39 +0000 2022;1483456560257171457;@xjihanss Ih gila sodara gw udah di cap orang pinter Ampe tugas di jiplak gila sih pencapaian tinggi sih predikat orang pinter se Budi luhur;0;0;0;1;in;1160040403774537728;1482108819367133184;Mariana_talula;https://twitter.com/Mariana_talula/status/1483456560257171457,,,,,,,,,,,,,
Tue Jan 18 13:19:11 +0000 2022;1483428759361716224;@jamallaoedin Betul ulama Bukan karena jubah/dasternya. Bukan surbannya Bukan jenggotnya Bukan turunannya Tp  Ilmu,ahklaq dan budi pekertinya yg luhur.;0;0;1;4;in;818091281461018626;1483021049562345472;Putragnkidul1;https://twitter.com/Putragnkidul1/status/1483428759361716224,,,,,,,,,,,,
Tue Jan 18 12:54:27 +0000 2022;1483422532996902913;Kabupaten Katingan melalui Dinas Sosial mendapat bantuan 58 Kursi Roda Dari BRSPDM Budi Luhur https://t.co/R6XhM2MPfi;0;0;0;0;in;1481905457677860871;1483422532996902913;kaltengtoday;https://twitter.com/kaltengtoday/status/1483422532996902913,,,,,,,,,,,,,
Tue Jan 18 11:53:32 +0000 2022;1483407205722435590;Just posted a photo @ Apartemen Gateway Budi Luhur https://t.co/fXvWBE4Wep;0;0;0;0;en;1280745674644963328;1483407205722435590;nails_rosie;https://twitter.com/nails_rosie/status/1483407205722435590,,,,,,,,,,,,,
Tue Jan 18 07:03:06 +0000 2022;1483334115844063235;@shokjo budi luhur deket sekolah gue…;0;0;0;0;in;1112681328623804416;1483322925386432513;rainychs;https://twitter.com/rainychs/status/1483334115844063235,,,,,,,,,,,,,
Mon Jan 17 16:12:55 +0000 2022;1483110093512007680;Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious;0;0;0;0;in;2476435299;1483110093512007680;Jokamlicious;https://twitter.com/Jokamlicious/status/1483110093512007680,,,,,,,,,,,,,
Mon Jan 17 12:02:09 +0000 2022;1483046986224119809;Plt. Bupati Bekasi dalam sambutannya mengucapkan selamat atas dibangunnya gedung baru Klinik Budi Luhur, yang diharapkan kedepannya akan dapat melayani masyarakat Kabupaten Bekasi secara optimal dan prima.  #pemkabbekasi #diskominfosantikkabbekasi #klinikbudiluhur;0;0;0;0;in;1152193230206726144;1483046980360507393;diskomkabbekasi;https://twitter.com/diskomkabbekasi/status/1483046986224119809,,,,,,,,,,,,
Mon Jan 17 12:02:09 +0000 2022;1483046984227647489;Turut hadir dalam acara tersebut Pimpinan Klinik Budi Luhur, Ahmad Syahlani. Acara peresmian ini, ditandai dengan penandatangan prasasti dan pengguntingan pita sebagai tanda diresmikannya Klinik Budi Luhur.;0;1;0;1;in;1152193230206726144;1483046980360507393;diskomkabbekasi;https://twitter.com/diskomkabbekasi/status/1483046984227647489,,,,,,,,,,,
